קוד ארץ,שם ארץ
9,ארמניה
10,קפריסין
15,תורכיה
20,סוריה
30,לבנון
40,ירדן
50,עירק
51,כווית
60,ערב הסעודית
61,בחריין
62,עומן
63,קטר
70,תימן
71,תימן הדמוקרטית
80,עדן
90,אירן
100,אפגניסטן
110,הודו
111,פקיסטן
112,צילון- סרי לנקה
113,סיקים
114,נפאל
115,בוטן
116,בנגלדש
117,מלדיבים
120,בורמה- מיאנמר
121,תאילנד
122,סינגפור
123,קמבודיה
124,לאוס
125,ויטנאם
126,ויטנאם הדרומית
127,מלזיה
130,אינדונזיה
131,פיליפינים
132,טימור הפורטוגלית
133,טיוון
134,ברוניי
135,גואם
140,סין
141,הונג קונג
142,מקאו
150,מונגוליה
151,קוריאה
152,קוריאה הצפונית
153,קוריאה הדרומית
160,יפן
180,שאר ארצות אסיה
190,אסיה לא ידוע
200,מרוקו
201,טנגר
202,מרוקו הספרדית
203,מאוריטניה
204,סנגל
205,גמביה
206,גינאה ביסאו
207,גינאה
208,סיירה ליאונה
209,ליבריה
210,אלגיריה
211,ניגר
212,מאלי
213,ניגריה
214,דהומי- בנין
215,טוגו
216,גאנה
217,בורקינה פאסו
218,חוף השנהב
219,איי קייפ וורדה
220,תוניסיה
230,לוב
240,מצרים
241,סודן
242,צאד
243,רפ מרכז אפריקנית
244,קמרון
245,סאו טומה ופרינציפה
246,דרום סודן
249,אריתראה
250,אתיופיה
251,גיבוטי
252,סומליה
253,קניה
254,אוגנדה
255,טנזניה
259,זימבאבווה
260,רודזיה
261,זמביה
262,מוזמביק
263,מלאווי
269,בליז
270,דרום אפריקה
271,בוטסואנה
272,לסוטו
273,סווזילנד
274,נמיביה
275,מדגסקר
276,מאוריציוס
277,סט הלנה
278,איי קומורו
279,ראוניון
280,שאר ארצות אפריקה
281,אנגולה
283,זאיר
284,רואנדה
285,בורונדי
286,קונגו
287,גבון
288,גינאה המשוונית
289,איי סיישל
290,אפריקה לא ידוע
300,ברית המועצות
301,ליטא
302,לטביה
303,אסטוניה
304,בילורוסיה
305,אוקראינה
306,רוסיה
307,מולדובה
309,גאורגיה
310,פולין
311,אזרביג'אן
312,קזחסטאן
313,תורכמניסטאן
314,טג'יקיסטאן
315,אוזבקיסטן
316,קירג'זסטאן
317,אבחזיסטאן
400,רומניה
410,יוגוסלביה
411,סלובניה
412,קרואטיה
413,בוסניה הרצגובינה
414,מקדוניה
415,סרביה
420,בולגריה
430,יוון
440,אלבניה
500,גרמניה
510,אוסטריה
520,שוויץ
521,ליכטנשטיין
530,צכוסלובקיה
531,צכיה
532,סלובקיה
540,הונגריה
550,פינלנד
560,שוודיה
570,נורבגיה
580,דנמרק
581,איסלנד
590,הממלכה המאוחדת
600,אירלנד
610,הולנד
620,בלגיה
630,לוכסמבורג
640,צרפת
641,מונקו
650,פורטוגל
660,ספרד
661,גיברלטר
662,אנדורה
666,שגוי הסבה
670,איטליה
671,סן מרינו
672,ותיקן
673,מלטה
690,שאר ארצות אירופה
691,אירופה לא ידוע
700,קנדה
710,ארצות הברית
711,פורטו ריקו
720,מקסיקו
721,ניקרגואה
723,קוסטה ריקה
724,אל סלבדור
725,הונדורס
726,גווטאמלה
730,קובה
731,ברמודה
732,ברבדוס
733,איי קיימן
734,הרפ הדומיניקנית
735,בהמס
736,האיטי
737,גמייקה
738,איי הבתולה
739,איי טורקס וקייקוס
740,פנמה
741,אזור תעלת פנמה
750,מרכז אמריקה
751,דומיניקה
752,מונסרת
753,גרנדה
754,סט וינסנט
755,לוציה .סט
756,מרטיניק
757,גואדאלופ
758,אנטיגואה וברבודה
760,ונצואלה
761,טרינידד וטובגו
762,האנטילים ההולנדים
770,קולומביה
780,אקואדור
790,פרו
800,בוליביה
810,ברזיל
811,גויאנה הצרפתית
812,גויאנה
813,סורינם
820,אורגוואי
830,ארגנטינה
831,פרגוואי
832,איי פאלקלנד
840,צ'ילה
850,דרום אמריקה
852,אמריקה לא ידוע
860,אוסטרליה
861,איי שלמה הבריטיים
862,קלדוניה החדשה
863,האיים ההברדיים
864,איי נורפולק
865,גינאה החדשה
866,פאפואה
870,ניו זילנד
880,שאר ארצות אוקיאניה
881,טונגה
882,סמואה
883,סמואה המערבית
884,איי ווליס ופוטונה
885,איי גילברט ואליס
886,נאורו
887,איי קוק
888,איי פיגי
889,פולינזיה הצרפתית